player_name,role,input_tokens,estimated_output_tokens,total_tokens,model
Bob,Impostor,3797,20,3817,anthropic/claude-3.5-sonnet
Charlie,Crewmate,3749,20,3769,meta-llama/llama-3.1-405b-instruct
Dave,Crewmate,3910,20,3930,meta-llama/llama-3.1-405b-instruct
Erin,Crewmate,4079,20,4099,meta-llama/llama-3.1-405b-instruct
Bob,Impostor,2953,20,2973,google/gemini-flash-1.5
Dave,Crewmate,3081,20,3101,anthropic/claude-3-5-haiku
Alice,Crewmate,3332,20,3352,anthropic/claude-3-5-haiku
Bob,Impostor,4295,20,4315,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3887,20,3907,anthropic/claude-3-5-haiku
Dave,Crewmate,4045,20,4065,anthropic/claude-3-5-haiku
Charlie,Crewmate,4072,20,4092,anthropic/claude-3-5-haiku
Dave,Impostor,9967,20,9987,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,5174,20,5194,google/gemini-pro-1.5
Charlie,Crewmate,5129,20,5149,google/gemini-pro-1.5
Alice,Crewmate,4867,20,4887,google/gemini-pro-1.5
Erin,Impostor,3015,20,3035,google/gemini-flash-1.5
Alice,Crewmate,3088,20,3108,anthropic/claude-3-5-haiku
Bob,Crewmate,3117,20,3137,anthropic/claude-3-5-haiku
Charlie,Crewmate,3058,20,3078,anthropic/claude-3-5-haiku
Erin,Impostor,3055,20,3075,google/gemini-flash-1.5
Dave,Crewmate,3036,20,3056,openai/gpt-4o-mini
Charlie,Crewmate,2971,20,2991,openai/gpt-4o-mini
Alice,Crewmate,2917,20,2937,openai/gpt-4o-mini
Erin,Impostor,5515,20,5535,meta-llama/llama-3.1-8b-instruct
Charlie,Crewmate,4810,20,4830,meta-llama/llama-3.1-8b-instruct
Bob,Crewmate,5513,20,5533,meta-llama/llama-3.1-8b-instruct
Erin,Impostor,3962,20,3982,meta-llama/llama-3.1-405b-instruct
Alice,Crewmate,3721,20,3741,google/gemini-flash-1.5
Dave,Crewmate,3635,20,3655,google/gemini-flash-1.5
